pair,locus,K,theta1,theta2,r_e,cf_slope,cf_intercept,p_gate_joint
P1,1662,28,0.611025356574042,0.431545031746876,0.21388,0.816192345176922,0.1159260345800218,0.254652034388867
P1,1679,313,0.221960182562306,0.390142424527897,0.21388,0.9562529697234498,0.018455375002180894,0.8115244954514848
P1,1683,223,0.128700388777899,0.391639757380168,0.21388,0.7946336145048083,0.07232131983317304,0.36030135059894197
P1,1688,272,0.206316688287254,0.399505521817249,0.21388,0.9307952655330558,0.028306974576154106,0.7129389725300186
P1,1714,278,0.27501157752485,0.399130162097136,0.21388,0.9757202707867015,0.01170172653363612,0.8885911115676585
P1,1716,383,0.155742867660521,0.421752473968163,0.21388,0.9086535685231955,0.030064242196392477,0.6517923466005999
P1,1718,362,0.169699320524056,0.50311724439692,0.21388,0.921403039215255,0.02472547254349273,0.6908060013294868
P1,1767,204,0.129381758158714,0.401264512315072,0.21388,0.7850711465829084,0.07625899437337201,0.3406042200729873
P1,1819,171,0.127957490692684,0.399372629937751,0.21388,0.7581093377105906,0.08939143525545848,0.29149530554452446
P1,1823,398,0.129050601896639,0.398733374081919,0.21388,0.8681423531335261,0.041126340338681705,0.5388105243998302
P1,1833,352,0.419209320757186,0.398152167034241,0.21388,0.9993015843343634,0.0004166606013226021,0.9966243007580062
P1,1864,146,0.26863055270142,0.39967511375482,0.21388,0.9081728940615774,0.04751562110491273,0.6064009992412318
P1,1871,206,0.312218965634306,0.389555214721231,0.21388,0.9668960711591337,0.01806322800976538,0.8432615473277238
P1,1884,237,0.399783851040609,0.388969723186186,0.21388,0.9915739360762876,0.0050177929747803425,0.9579788566511702
P1,1912,342,0.141527668414006,0.396634653227246,0.21388,0.8730513536077738,0.042196144208238626,0.5461711705029163
P1,1972,103,0.428494748034769,0.392254785692806,0.21388,0.9305335414524288,0.04167343880539689,0.6640432713348227
P1,2035,334,0.140500486905336,0.305900906494623,0.21388,0.8627512369732004,0.05354569232443208,0.5176405950114021
P1,2075,275,0.135166246984327,0.58944538281629,0.21388,0.8365329816756537,0.04491234249178682,0.4512243159080083
P1,2097,376,0.145108502664273,0.401322624377267,0.21388,0.8902040006267615,0.03609145046074576,0.5963437289240378
P1,2116,420,0.306691425890301,0.388468160700875,0.21388,0.9972191271221538,0.001414919533968333,0.9873781507926706
P1,2137,445,0.315486938718128,0.396549538087521,0.21388,0.998446108674461,0.0007945645577847712,0.992971523771259
P1,2142,388,0.272814783218757,0.398628125414791,0.21388,0.9908474668507163,0.004224582329810904,0.9588116086663879
P1,2198,489,0.147804114966955,0.39881359696806,0.21388,0.9231297680997912,0.02469775231196744,0.7052081077807052
P1,2222,478,0.187654578115504,0.387843085149096,0.21388,0.9641113715988585,0.013169458570699965,0.8512933676925417
P1,2291,213,0.146715976955695,0.400675009439251,0.21388,0.8232149643823572,0.06518655950725105,0.4113034589550948
P1,2304,332,0.128993399401755,0.392969877374755,0.21388,0.8459843544357442,0.04986787565346992,0.47886487577986764
P1,2361,376,0.128481056900835,0.394541504156126,0.21388,0.8601557362832756,0.044173361725999685,0.516870008283362
P1,2378,434,0.130800752429739,0.401401040640007,0.21388,0.8817580845127245,0.036494531710148964,0.5775791799295207
P1,2381,309,0.12927638497281,0.428630419353589,0.21388,0.8383230424890181,0.050562338372814146,0.45926447330788805
P1,2392,259,0.12929666774746,0.40032069003758,0.21388,0.8158114638505154,0.06199701172673612,0.4056859523339443
P1,2412,347,0.128298576495126,0.386552378277233,0.21388,0.8499035210433559,0.04856866916368348,0.48947925209625215
P1,2489,596,0.129722828142742,0.398771971209672,0.21388,0.9157921476812337,0.025004720809775394,0.6867904424271606
P2a,10,272,0.237152198505187,0.402317318699684,0.10897,0.9549715650705033,0.01007570242367196,0.8026904264361544
P2a,19,353,0.170772895516974,0.398157537297009,0.10897,0.9197495695730187,0.014637047920570374,0.6844858885361594
P2a,22,226,0.169955386416691,0.39894968006604,0.10897,0.8671042268246733,0.02625272256523143,0.5133711911268819
P2a,37,239,0.182393568148074,0.399133232473307,0.10897,0.8904511016988513,0.02206473298488276,0.5791748163499775
P2a,41,279,0.377636814263957,0.43097814275667,0.10897,0.996272328019206,0.0010917646741836007,0.9816579817811752
P2a,42,187,0.229743556607173,0.403046419428842,0.10897,0.9101586564597208,0.02109586048598201,0.6270824879472645
P2a,59,194,0.170713377036411,0.400888911331521,0.10897,0.848497461445115,0.030904322780217392,0.46053901679136866
