locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
1195,7,311,0.000253117,3.38047e-07,0.2940450392897918,0.4530302612237492,0.9874306283606947,0.0029377147541092678,False,0.184919,0.18429779269457247,0.18429779269457247,-0.24587,0.60528,0.8511500000000001,0.861984604845665
1196,7,303,0.0209942,2.01837e-06,0.0,0.4219085783531412,0.0,0.07102009755909149,True,0.344918,1.0,inf,-0.2245,1.0,1.2245,
1199,7,229,0.00116514,1.03989e-06,0.2789937337592682,0.509000527568508,0.9661331084522086,0.007387093312833495,False,-0.253094,-0.26961201415624464,-0.26961201415624464,-0.87566,0.18828,1.06394,1.1012354205565762
1208,7,432,0.00389835,0.00237321,0.15116712231172313,0.17490138885904372,0.8558783212363551,0.03615739119367173,False,0.515171,0.5596748941068765,0.5596748941068765,-0.05535,1.0,1.05535,1.2330607912530125
1209,7,526,0.0330423,5.59578e-11,0.0,0.45579570272772635,0.0,0.0596518377061817,True,0.0735186,1.0,inf,-0.55689,0.64114,1.1980300000000002,
1210,7,424,0.00248831,5.00344e-08,0.17437760849205797,0.41395215651379713,0.9384033555985524,0.010896877799545523,False,-0.0758925,-0.09248621851334674,-0.09248621851334674,-0.63191,0.34963,0.98154,1.045968126759237
1213,7,395,0.00201333,3.48214e-06,0.1899182132349578,0.3555888767338909,0.9471256527551934,0.010728453673528145,False,0.291134,0.2960594990862835,0.2960594990862835,-0.19612,0.8093,1.00542,1.0615486942785552
1216,7,389,1.10511e-05,0.00315593,0.3355552152201535,0.17013005353763258,0.9238651124833929,0.015192047576564243,False,0.0602211,0.048739855867482154,0.048739855867482154,-0.52624,0.57927,1.10551,1.1966140782482164
1220,7,213,0.00266872,0.0131414,0.24040443156853752,0.07817964346559941,0.6163201715653088,0.07789618074458773,False,0.120572,0.06924293772022046,0.06924293772022046,-0.79165,0.89115,1.6827999999999999,2.7303990322531257
1222,7,351,0.00113604,0.0181421,0.22556690369155835,0.013256801642986047,0.3117038581403062,0.09210661585709735,False,0.10737,0.0489675817103046,0.0489675817103046,-0.74189,0.85843,1.60032,5.134103920137085
