"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,0.2,2000,1185,0,1185,0.5925,0.216980072486751,0.00792647515584116
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,0.4,2000,1166,0,1166,0.583,0.390550515523156,0.00818772346102016
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,0.6,2000,1130,11,1119,0.565,0.546210703923146,0.00721106755151096
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,0.8,2000,1176,50,1126,0.588,0.719115544582593,0.00647437623493901
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,-0.8,2000,1967,97,1870,0.9835,-0.78879395026738,0.00411673565221261
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,-0.6,2000,1961,25,1936,0.9805,-0.620568820506198,0.00483992309041844
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,-0.4,2000,1959,3,1956,0.9795,-0.418193355501534,0.00500063722611247
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,-0.2,2000,1962,0,1962,0.981,-0.216958433205403,0.00489139581055345
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,0,2000,1956,0,1956,0.978,-0.00839914342653374,0.00474306556575884
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,0.2,2000,1980,0,1980,0.99,0.204568094635051,0.00470047514641353
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,0.4,2000,1963,1,1962,0.9815,0.417944591864169,0.00452599742129607
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,0.6,2000,1969,9,1960,0.9845,0.614650565765306,0.00425606959043617
41,279,0.377636814263957,0.43097814275667,105.360671179644,0.10897,0.8,2000,1960,59,1901,0.98,0.802948094687007,0.00371954791762059
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,-0.8,2000,1254,76,1178,0.627,-0.698518680135823,0.00691777065521192
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,-0.6,2000,1288,29,1259,0.644,-0.535399397728356,0.00787237504207757
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,-0.4,2000,1250,4,1246,0.625,-0.361115401701685,0.00814187792239454
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,-0.2,2000,1264,1,1263,0.632,-0.178840216,0.00834226167234544
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,0,2000,1222,0,1222,0.611,0.00839879300736497,0.0082005807382989
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,0.2,2000,1264,0,1264,0.632,0.202189004503244,0.00818202566519655
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,0.4,2000,1279,1,1278,0.6395,0.419076327078247,0.00746521684886446
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,0.6,2000,1254,15,1239,0.627,0.554466627296207,0.00748989818106567
42,187,0.229743556607173,0.403046419428842,42.9620450855414,0.10897,0.8,2000,1278,63,1215,0.639,0.728593426748971,0.00649030411787292
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,-0.8,2000,909,46,863,0.4545,-0.643979528621089,0.00854120661387575
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,-0.6,2000,909,15,894,0.4545,-0.483385407438479,0.0093825852043751
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,-0.4,2000,942,2,940,0.471,-0.326801341679894,0.00998048799692842
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,-0.2,2000,915,0,915,0.4575,-0.147039674236175,0.0100625301076158
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,0,2000,943,0,943,0.4715,0.0174845076882291,0.00971059162621971
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,0.2,2000,911,0,911,0.4555,0.217680297310648,0.00974983153343442
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,0.4,2000,934,3,931,0.467,0.374889066571429,0.00941120318763725
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,0.6,2000,932,9,923,0.466,0.538069371508126,0.00879886608448842
59,194,0.170713377036411,0.400888911331521,33.1183951450638,0.10897,0.8,2000,953,21,932,0.4765,0.696632122961373,0.00772802686068023
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,-0.8,2000,1949,114,1835,0.9745,-0.787606613623978,0.00428966534500332
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,-0.6,2000,1952,35,1917,0.976,-0.617726623191445,0.00493682673986297
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,-0.4,2000,1937,4,1933,0.9685,-0.410252944252457,0.00534078841509248
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,-0.2,2000,1932,0,1932,0.966,-0.209297597596273,0.0051412367313945
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,0,2000,1930,0,1930,0.965,-0.0103476840160622,0.00521475408160413
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,0.2,2000,1955,0,1955,0.9775,0.203039536873197,0.00491069050665678
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,0.4,2000,1932,0,1932,0.966,0.396548056345756,0.00477011543783761
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,0.6,2000,1945,5,1940,0.9725,0.620380141752577,0.00453137047867465
77,224,0.471874889020066,0.398649382105885,89.2974615917183,0.10897,0.8,2000,1951,63,1888,0.9755,0.789556005826271,0.00384850607663811
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,-0.8,2000,1858,103,1755,0.929,-0.761569321310541,0.00459379450650518
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,-0.6,2000,1844,23,1821,0.922,-0.598926093130148,0.00527181193703499
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,-0.4,2000,1829,4,1825,0.9145,-0.413180348223562,0.00541622663172546
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,-0.2,2000,1856,0,1856,0.928,-0.213646194836746,0.00541261435260945
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,0,2000,1831,0,1831,0.9155,0.00435455366903331,0.00535861260388036
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,0.2,2000,1854,0,1854,0.927,0.212834105833873,0.00498009215813972
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,0.4,2000,1845,0,1845,0.9225,0.412517070905149,0.00497973726079118
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,0.6,2000,1860,6,1854,0.93,0.619104527464941,0.00472043479122007
97,350,0.260888182002717,0.395238774727042,91.310863700951,0.10897,0.8,2000,1861,74,1787,0.9305,0.785442612758814,0.00398708549176312
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,-0.8,2000,1327,63,1264,0.6635,-0.715106956337025,0.00626787115028161
