"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,0.4,2000,1978,0,1978,0.989,0.403837910059656,0.00406159379819373
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,0.6,2000,1978,1,1977,0.989,0.609634613808801,0.00394592814876275
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,0.8,2000,1970,16,1954,0.985,0.803246231320368,0.0033761752462342
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,-0.8,2000,1119,37,1082,0.5595,-0.668378268955638,0.00659694585610767
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,-0.6,2000,1136,5,1131,0.568,-0.516280402371353,0.00716006802951398
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,-0.4,2000,1150,2,1148,0.575,-0.332946970421603,0.00716147434990842
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,-0.2,2000,1126,0,1126,0.563,-0.151854391613766,0.00717211169765317
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,0,2000,1168,0,1168,0.584,0.0273269255813356,0.00685975528098989
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,0.2,2000,1096,0,1096,0.548,0.205319193442427,0.00679934619003267
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,0.4,2000,1154,0,1154,0.577,0.394454180294627,0.00610527216507447
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,0.6,2000,1152,2,1150,0.576,0.5829458046,0.00610284752774444
345,302,0.156310590873325,0.54981673351028,47.2057984437443,0.21388,0.8,2000,1150,11,1139,0.575,0.745629160667252,0.00535850292024132
347,368,0.381641276775687,0.390343515431249,140.443989853453,0.21388,-0.8,2000,1983,130,1853,0.9915,-0.792239966001079,0.00406000395705735
